Regional SAM Balances IO Detail Accounts ,,,,
InstitutionPayments,TypeCodesAll.Description,InstitutionReceipts,TypeCodesAll_1.Description,Value
15,"Forestry, forest products, and timber tract production",434,Nondepository credit intermediation and related activities,2.1527291741691486E-05
15,"Forestry, forest products, and timber tract production",437,Insurance carriers,1.0783391992256141E-05
15,"Forestry, forest products, and timber tract production",438,"Insurance agencies, brokerages, and related activities",3.4989458100661164E-05
15,"Forestry, forest products, and timber tract production",440,Real estate,1.1711252779401547E-05
15,"Forestry, forest products, and timber tract production",443,General and consumer goods rental except video tapes and discs,2.2844619727819016E-07
15,"Forestry, forest products, and timber tract production",445,Commercial and industrial machinery and equipment rental and leasing,2.3051887508299335E-05
15,"Forestry, forest products, and timber tract production",446,Lessors of nonfinancial intangible assets,3.4991098365953191E-06
15,"Forestry, forest products, and timber tract production",447,Legal services,2.2363589945773293E-05
15,"Forestry, forest products, and timber tract production",448,"Accounting, tax preparation, bookkeeping, and payroll services",4.6005547050632228E-05
15,"Forestry, forest products, and timber tract production",449,"Architectural, engineering, and related services",0.00027142513780455471
15,"Forestry, forest products, and timber tract production",451,Custom computer programming services,8.323957036510643E-08
15,"Forestry, forest products, and timber tract production",452,Computer systems design services,1.4894415782373568E-07
15,"Forestry, forest products, and timber tract production",457,"Advertising, public relations, and related services",7.3367837929928965E-06
15,"Forestry, forest products, and timber tract production",462,Office administrative services,1.5204146527837944E-07
15,"Forestry, forest products, and timber tract production",465,Business support services,3.7946996523688077E-06
15,"Forestry, forest products, and timber tract production",469,Landscape and horticultural services,2.0483843334621714E-05
15,"Forestry, forest products, and timber tract production",471,Waste management and remediation services,5.4187636927744299E-05
15,"Forestry, forest products, and timber tract production",492,"Independent artists, writers, and performers",8.72533539587406E-05
15,"Forestry, forest products, and timber tract production",499,"Hotels and motels, including casino hotels",2.3715743932499925E-07
15,"Forestry, forest products, and timber tract production",500,Other accommodations,1.4830118790676814E-09
15,"Forestry, forest products, and timber tract production",504,"Automotive repair and maintenance, except car washes",6.3444754521842749E-05
15,"Forestry, forest products, and timber tract production",506,Electronic and precision equipment repair and maintenance,2.8495207675267517E-05
15,"Forestry, forest products, and timber tract production",507,Commercial and industrial machinery and equipment repair and maintenance,6.3443533698897409E-05
15,"Forestry, forest products, and timber tract production",508,Personal and household goods repair and maintenance,7.6754773234760133E-05
15,"Forestry, forest products, and timber tract production",515,Business and professional associations,2.8578086497733024E-08
15,"Forestry, forest products, and timber tract production",516,Labor and civic organizations,8.1677846110521172E-09
15,"Forestry, forest products, and timber tract production",5001,Employee Compensation,0
15,"Forestry, forest products, and timber tract production",6001,Proprietor Income,0.14189890027046204
15,"Forestry, forest products, and timber tract production",7001,Other Property Type Income,0
15,"Forestry, forest products, and timber tract production",8001,Tax on Production and Imports,0.011190555989742279
15,"Forestry, forest products, and timber tract production",11001,Federal Government NonDefense,9.7604995424681318E-05
15,"Forestry, forest products, and timber tract production",12001,State/Local Govt NonEducation,0.0063477765682318178
15,"Forestry, forest products, and timber tract production",14002,Inventory Additions/Deletions,6.0245769032569674E-06
15,"Forestry, forest products, and timber tract production",25001,Foreign Trade,0.0011051620473982934
15,"Forestry, forest products, and timber tract production",28001,Domestic Trade,0.012365883410245667
16,Commercial logging,5001,Employee Compensation,0
16,Commercial logging,6001,Proprietor Income,0
16,Commercial logging,7001,Other Property Type Income,0
16,Commercial logging,8001,Tax on Production and Imports,0
17,Commercial fishing,5001,Employee Compensation,0
17,Commercial fishing,6001,Proprietor Income,0
17,Commercial fishing,7001,Other Property Type Income,0
17,Commercial fishing,8001,Tax on Production and Imports,0
18,Commercial hunting and trapping,19,Support activities for agriculture and forestry,0.00074008574154788703
18,Commercial hunting and trapping,20,Extraction of natural gas and crude petroleum,6.9745462157455931E-05
18,Commercial hunting and trapping,50,Natural gas distribution,0.00017742251599381538
18,Commercial hunting and trapping,62,Maintenance and repair construction of nonresidential structures,0.00042690678319697375
18,Commercial hunting and trapping,134,Sawmills,4.3123937885389523E-05
18,Commercial hunting and trapping,138,Reconstituted wood product manufacturing,9.5807985279157469E-07
18,Commercial hunting and trapping,145,All other miscellaneous wood product manufacturing,5.5716220780556577E-07
18,Commercial hunting and trapping,154,Printing,8.2836764769730594E-06
18,Commercial hunting and trapping,180,Polish and other sanitation good manufacturing,1.2139212616894129E-05
18,Commercial hunting and trapping,195,Other plastics product manufacturing,6.4928326419337861E-07
18,Commercial hunting and trapping,236,Handtool manufacturing,4.6813953564150862E-08
18,Commercial hunting and trapping,261,Other fabricated metal manufacturing,8.0125709480342974E-06
18,Commercial hunting and trapping,278,Industrial mold manufacturing,1.4915997945470674E-07
18,Commercial hunting and trapping,346,Motor vehicle body manufacturing,5.2380577844666521E-09
18,Commercial hunting and trapping,356,Other motor vehicle parts manufacturing,1.1261623099300495E-05
18,Commercial hunting and trapping,385,Sporting and athletic goods manufacturing,5.9325221931074092E-09
18,Commercial hunting and trapping,395,Wholesale trade,0.0017825963427475361
18,Commercial hunting and trapping,396,Retail - Motor vehicle and parts dealers,2.1693916576418372E-06
18,Commercial hunting and trapping,397,Retail - Furniture and home furnishings stores,1.1196981660046138E-08
18,Commercial hunting and trapping,398,Retail - Electronics and appliance stores,1.3598064194745164E-09
18,Commercial hunting and trapping,399,Retail - Building material and garden equipment and supplies stores,5.6707289120649992E-08
18,Commercial hunting and trapping,401,Retail - Health and personal care stores,7.7196597272983598E-08
18,Commercial hunting and trapping,402,Retail - Gasoline stores,9.2571989822157816E-08
18,Commercial hunting and trapping,403,Retail - Clothing and clothing accessories stores,5.2425533234252781E-08
18,Commercial hunting and trapping,404,"Retail - Sporting goods, hobby, musical instrument and book stores",1.5817828697487905E-08
18,Commercial hunting and trapping,405,Retail - General merchandise stores,1.6044254065622379E-06
18,Commercial hunting and trapping,406,Retail - Miscellaneous store retailers,9.8767818841460903E-08
18,Commercial hunting and trapping,407,Retail - Nonstore retailers,2.9420883160532281E-07
18,Commercial hunting and trapping,411,Truck transportation,0.00017130248282117185
18,Commercial hunting and trapping,412,Transit and ground passenger transportation,6.6443007791287378E-05
18,Commercial hunting and trapping,413,Pipeline transportation,3.1061797411266663E-06
18,Commercial hunting and trapping,417,Newspaper publishers,2.5979388114527038E-05
18,Commercial hunting and trapping,425,Radio and television broadcasting,3.2017326061241228E-05
18,Commercial hunting and trapping,427,Wired telecommunications carriers,1.4544406249293417E-06
18,Commercial hunting and trapping,432,Internet publishing and broadcasting and web search portals,4.0341046747120225E-06
18,Commercial hunting and trapping,433,Monetary authorities and depository credit intermediation,0.00082211044423849411
18,Commercial hunting and trapping,434,Nondepository credit intermediation and related activities,0.00013999789295249081
18,Commercial hunting and trapping,437,Insurance carriers,5.1673384065387801E-06
18,Commercial hunting and trapping,438,"Insurance agencies, brokerages, and related activities",0.0002945591742248635
18,Commercial hunting and trapping,440,Real estate,2.3910288107224092E-05
18,Commercial hunting and trapping,447,Legal services,4.1349628492055261E-05
18,Commercial hunting and trapping,448,"Accounting, tax preparation, bookkeeping, and payroll services",0.00075906855382676386
18,Commercial hunting and trapping,449,"Architectural, engineering, and related services",8.5029385534475359E-05
18,Commercial hunting and trapping,451,Custom computer programming services,1.1892703244671549E-07
18,Commercial hunting and trapping,452,Computer systems design services,2.1280126712446254E-07
18,Commercial hunting and trapping,454,Management consulting services,6.0006719443732922E-05
18,Commercial hunting and trapping,457,"Advertising, public relations, and related services",8.0373695791596117E-05
18,Commercial hunting and trapping,459,Veterinary services,0.003072415483546781
18,Commercial hunting and trapping,462,Office administrative services,1.0139941145116693E-06
18,Commercial hunting and trapping,466,Travel arrangement and reservation services,1.3856577566798449E-05
18,Commercial hunting and trapping,469,Landscape and horticultural services,3.6634987497628606E-05
18,Commercial hunting and trapping,471,Waste management and remediation services,7.1502205411659234E-05
18,Commercial hunting and trapping,499,"Hotels and motels, including casino hotels",4.8419263485790178E-07
18,Commercial hunting and trapping,500,Other accommodations,3.027792164006707E-09
18,Commercial hunting and trapping,508,Personal and household goods repair and maintenance,7.0979732008846427E-05
18,Commercial hunting and trapping,515,Business and professional associations,3.1306992910249193E-07
18,Commercial hunting and trapping,516,Labor and civic organizations,8.947722910720561E-08
18,Commercial hunting and trapping,5001,Employee Compensation,0
18,Commercial hunting and trapping,6001,Proprietor Income,0.01199566014111042
18,Commercial hunting and trapping,7001,Other Property Type Income,0
18,Commercial hunting and trapping,8001,Tax on Production and Imports,0.022451601922512054
18,Commercial hunting and trapping,11001,Federal Government NonDefense,9.29596070224881E-08
18,Commercial hunting and trapping,11002,Federal Government Defense,2.7969611344840453E-10
18,Commercial hunting and trapping,11003,Federal Government Investment,3.9744297221908299E-09
18,Commercial hunting and trapping,12001,State/Local Govt NonEducation,0.00010237688759457214
18,Commercial hunting and trapping,14001,Capital,4.5318063587233137E-05
18,Commercial hunting and trapping,14002,Inventory Additions/Deletions,7.1283462459991892E-07
18,Commercial hunting and trapping,25001,Foreign Trade,0.0056944795453724205
18,Commercial hunting and trapping,28001,Domestic Trade,0.019979273191943425
19,Support activities for agriculture and forestry,15,"Forestry, forest products, and timber tract production",1.2970240222399433E-05
19,Support activities for agriculture and forestry,20,Extraction of natural gas and crude petroleum,1.8277557750640949E-05
19,Support activities for agriculture and forestry,62,Maintenance and repair construction of nonresidential structures,0.00023291269353973958
19,Support activities for agriculture and forestry,138,Reconstituted wood product manufacturing,1.1423827575059289E-07
19,Support activities for agriculture and forestry,145,All other miscellaneous wood product manufacturing,3.1105828360411644E-06
19,Support activities for agriculture and forestry,154,Printing,1.1337573813866963E-06
19,Support activities for agriculture and forestry,180,Polish and other sanitation good manufacturing,0.00017418793931509025
19,Support activities for agriculture and forestry,195,Other plastics product manufacturing,3.3909127882994467E-07
19,Support activities for agriculture and forestry,236,Handtool manufacturing,5.6166192416158149E-09
19,Support activities for agriculture and forestry,261,Other fabricated metal manufacturing,2.5380730449369967E-06
19,Support activities for agriculture and forestry,278,Industrial mold manufacturing,8.947917016803544E-09
19,Support activities for agriculture and forestry,346,Motor vehicle body manufacturing,1.8221970896973758E-09
19,Support activities for agriculture and forestry,356,Other motor vehicle parts manufacturing,3.9169846218043856E-06
19,Support activities for agriculture and forestry,378,Blind and shade manufacturing,3.6901790828826399E-09
19,Support activities for agriculture and forestry,385,Sporting and athletic goods manufacturing,3.0982878571896411E-09
19,Support activities for agriculture and forestry,395,Wholesale trade,0.002489982562553783
19,Support activities for agriculture and forestry,397,Retail - Furniture and home furnishings stores,1.5089580280858477E-07
19,Support activities for agriculture and forestry,398,Retail - Electronics and appliance stores,1.8325392190035117E-08
19,Support activities for agriculture and forestry,399,Retail - Building material and garden equipment and supplies stores,7.6421413967529952E-07
19,Support activities for agriculture and forestry,401,Retail - Health and personal care stores,1.0403376523668447E-06
19,Support activities for agriculture and forestry,402,Retail - Gasoline stores,1.2475438551148973E-06
19,Support activities for agriculture and forestry,403,Retail - Clothing and clothing accessories stores,7.0651119278337829E-07
19,Support activities for agriculture and forestry,404,"Retail - Sporting goods, hobby, musical instrument and book stores",2.1316852704547275E-07
19,Support activities for agriculture and forestry,406,Retail - Miscellaneous store retailers,1.3310417083993393E-06
19,Support activities for agriculture and forestry,407,Retail - Nonstore retailers,3.9648969989644904E-06
19,Support activities for agriculture and forestry,411,Truck transportation,0.00016767611730081344
19,Support activities for agriculture and forestry,413,Pipeline transportation,1.8169956229640753E-06
19,Support activities for agriculture and forestry,414,Scenic and sightseeing transportation and support activities for transportation,8.1398615933465576E-05
19,Support activities for agriculture and forestry,417,Newspaper publishers,3.1169407979065135E-06
19,Support activities for agriculture and forestry,425,Radio and television broadcasting,3.841357073152492E-06
19,Support activities for agriculture and forestry,427,Wired telecommunications carriers,3.5411292730849587E-07
19,Support activities for agriculture and forestry,432,Internet publishing and broadcasting and web search portals,4.8400158204835623E-07
19,Support activities for agriculture and forestry,433,Monetary authorities and depository credit intermediation,0.00027190448361176511
19,Support activities for agriculture and forestry,434,Nondepository credit intermediation and related activities,2.5762393067904751E-05
19,Support activities for agriculture and forestry,437,Insurance carriers,2.2917940421994737E-05
19,Support activities for agriculture and forestry,438,"Insurance agencies, brokerages, and related activities",8.4836272791519868E-05
19,Support activities for agriculture and forestry,440,Real estate,1.4343476702979386E-05
19,Support activities for agriculture and forestry,443,General and consumer goods rental except video tapes and discs,2.7888606955373983E-06
19,Support activities for agriculture and forestry,445,Commercial and industrial machinery and equipment rental and leasing,0.00028141637329866243
19,Support activities for agriculture and forestry,446,Lessors of nonfinancial intangible assets,8.2996193213721176E-05
19,Support activities for agriculture and forestry,447,Legal services,0.00032365431844710163
19,Support activities for agriculture and forestry,448,"Accounting, tax preparation, bookkeeping, and payroll services",0.00046072254354808176
19,Support activities for agriculture and forestry,449,"Architectural, engineering, and related services",0.0011365418806656424
19,Support activities for agriculture and forestry,451,Custom computer programming services,2.0410158104346295E-07
19,Support activities for agriculture and forestry,452,Computer systems design services,3.6520778888393245E-07
19,Support activities for agriculture and forestry,454,Management consulting services,9.6830725615996548E-06
19,Support activities for agriculture and forestry,456,Scientific research and development services,3.448279569514401E-06
19,Support activities for agriculture and forestry,457,"Advertising, public relations, and related services",9.6430316044605197E-06
19,Support activities for agriculture and forestry,462,Office administrative services,1.0061044483780494E-05
19,Support activities for agriculture and forestry,464,Employment services,7.4150353013169193E-06
19,Support activities for agriculture and forestry,465,Business support services,5.9920044115140342E-06
19,Support activities for agriculture and forestry,466,Travel arrangement and reservation services,1.3299814201660773E-05
19,Support activities for agriculture and forestry,468,Services to buildings,4.5118082292178955E-05
19,Support activities for agriculture and forestry,469,Landscape and horticultural services,1.0290278120664125E-05
19,Support activities for agriculture and forestry,496,Other amusement and recreation industries,5.7775890816031544E-06
19,Support activities for agriculture and forestry,499,"Hotels and motels, including casino hotels",2.9046099430569226E-07
19,Support activities for agriculture and forestry,500,Other accommodations,1.816333917814936E-09
19,Support activities for agriculture and forestry,511,Dry-cleaning and laundry services,0.00014613587887890925
19,Support activities for agriculture and forestry,515,Business and professional associations,3.7561332492351653E-08
19,Support activities for agriculture and forestry,516,Labor and civic organizations,1.0735249504364101E-08
19,Support activities for agriculture and forestry,518,Postal service,4.0675366278202212E-05
19,Support activities for agriculture and forestry,5001,Employee Compensation,0.03077138215303421
19,Support activities for agriculture and forestry,6001,Proprietor Income,0.16892512142658234
19,Support activities for agriculture and forestry,7001,Other Property Type Income,0.0088722771033644676
19,Support activities for agriculture and forestry,8001,Tax on Production and Imports,0.0080096498131752014
19,Support activities for agriculture and forestry,11001,Federal Government NonDefense,1.2414872554568072E-05
19,Support activities for agriculture and forestry,12001,State/Local Govt NonEducation,0.0002480080722379182
19,Support activities for agriculture and forestry,14002,Inventory Additions/Deletions,7.9854599932811013E-07
19,Support activities for agriculture and forestry,25001,Foreign Trade,0.005858886966568163
19,Support activities for agriculture and forestry,28001,Domestic Trade,0.04360694899205101
20,Extraction of natural gas and crude petroleum,20,Extraction of natural gas and crude petroleum,1.1821628240849691
20,Extraction of natural gas and crude petroleum,37,Drilling oil and gas wells,0.0038463757096089402
20,Extraction of natural gas and crude petroleum,38,Support activities for oil and gas operations,1.3403792879473429
20,Extraction of natural gas and crude petroleum,50,Natural gas distribution,0.041153814856869531
20,Extraction of natural gas and crude petroleum,62,Maintenance and repair construction of nonresidential structures,0.54382528479565906
20,Extraction of natural gas and crude petroleum,138,Reconstituted wood product manufacturing,3.6588417473651266E-07
20,Extraction of natural gas and crude petroleum,145,All other miscellaneous wood product manufacturing,2.689688079088201E-07
20,Extraction of natural gas and crude petroleum,154,Printing,0.0001893579947119875
20,Extraction of natural gas and crude petroleum,180,Polish and other sanitation good manufacturing,0.00025965276910756147
20,Extraction of natural gas and crude petroleum,195,Other plastics product manufacturing,1.1973506815063308E-06
20,Extraction of natural gas and crude petroleum,236,Handtool manufacturing,4.5532675444990558E-06
20,Extraction of natural gas and crude petroleum,261,Other fabricated metal manufacturing,8.2629748611432255E-05
20,Extraction of natural gas and crude petroleum,278,Industrial mold manufacturing,4.5444242326428327E-07
20,Extraction of natural gas and crude petroleum,282,Rolling mill and other metalworking machinery manufacturing,3.8740149920066594E-05
20,Extraction of natural gas and crude petroleum,346,Motor vehicle body manufacturing,2.1208194240654954E-08
20,Extraction of natural gas and crude petroleum,356,Other motor vehicle parts manufacturing,4.5601637922458929E-05
20,Extraction of natural gas and crude petroleum,378,Blind and shade manufacturing,2.1237028110646013E-07
20,Extraction of natural gas and crude petroleum,385,Sporting and athletic goods manufacturing,9.9232470626826069E-09
20,Extraction of natural gas and crude petroleum,395,Wholesale trade,0.041071642091958793
20,Extraction of natural gas and crude petroleum,396,Retail - Motor vehicle and parts dealers,0.00086613948087739534
20,Extraction of natural gas and crude petroleum,397,Retail - Furniture and home furnishings stores,4.78817339530954E-06
20,Extraction of natural gas and crude petroleum,398,Retail - Electronics and appliance stores,5.4238469875918574E-07
20,Extraction of natural gas and crude petroleum,399,Retail - Building material and garden equipment and supplies stores,5.7935366069361734E-05
20,Extraction of natural gas and crude petroleum,401,Retail - Health and personal care stores,2.9156440163783694E-05
20,Extraction of natural gas and crude petroleum,402,Retail - Gasoline stores,9.906809113104792E-05
20,Extraction of natural gas and crude petroleum,403,Retail - Clothing and clothing accessories stores,1.1660199979397767E-05
20,Extraction of natural gas and crude petroleum,404,"Retail - Sporting goods, hobby, musical instrument and book stores",8.7554105254847477E-06
20,Extraction of natural gas and crude petroleum,405,Retail - General merchandise stores,0.00018302120960850959
20,Extraction of natural gas and crude petroleum,406,Retail - Miscellaneous store retailers,3.5335662637547317E-05
20,Extraction of natural gas and crude petroleum,407,Retail - Nonstore retailers,0.00016170591685991942
20,Extraction of natural gas and crude petroleum,411,Truck transportation,0.0034218170590500363
20,Extraction of natural gas and crude petroleum,413,Pipeline transportation,0.011068555072209607
20,Extraction of natural gas and crude petroleum,414,Scenic and sightseeing transportation and support activities for transportation,7.6556170467440704E-05
20,Extraction of natural gas and crude petroleum,416,Warehousing and storage,7.0595520577197571E-06
20,Extraction of natural gas and crude petroleum,417,Newspaper publishers,0.00058043942194807574
20,Extraction of natural gas and crude petroleum,425,Radio and television broadcasting,0.0015634193146665254
20,Extraction of natural gas and crude petroleum,427,Wired telecommunications carriers,0.002436493039094878
20,Extraction of natural gas and crude petroleum,432,Internet publishing and broadcasting and web search portals,9.0131195311708018E-05
20,Extraction of natural gas and crude petroleum,433,Monetary authorities and depository credit intermediation,0.01310968309327798
20,Extraction of natural gas and crude petroleum,434,Nondepository credit intermediation and related activities,0.0018016248490613507
20,Extraction of natural gas and crude petroleum,437,Insurance carriers,0.0011920753518734617
20,Extraction of natural gas and crude petroleum,438,"Insurance agencies, brokerages, and related activities",0.0013165237028153753
20,Extraction of natural gas and crude petroleum,440,Real estate,0.0033509595227180777
20,Extraction of natural gas and crude petroleum,443,General and consumer goods rental except video tapes and discs,0.00094214793150652898
20,Extraction of natural gas and crude petroleum,445,Commercial and industrial machinery and equipment rental and leasing,0.095069592585721452
20,Extraction of natural gas and crude petroleum,446,Lessors of nonfinancial intangible assets,0.058030289266476132
20,Extraction of natural gas and crude petroleum,447,Legal services,0.0095047329685429283
20,Extraction of natural gas and crude petroleum,448,"Accounting, tax preparation, bookkeeping, and payroll services",0.016769246835778517
20,Extraction of natural gas and crude petroleum,449,"Architectural, engineering, and related services",0.033938475527567569
20,Extraction of natural gas and crude petroleum,451,Custom computer programming services,0.00057708403722162016
20,Extraction of natural gas and crude petroleum,452,Computer systems design services,5.9100228525035998E-05
20,Extraction of natural gas and crude petroleum,454,Management consulting services,0.0017068038667973906
20,Extraction of natural gas and crude petroleum,457,"Advertising, public relations, and related services",0.0017957335838241773
20,Extraction of natural gas and crude petroleum,462,Office administrative services,0.00011233316841136737
20,Extraction of natural gas and crude petroleum,464,Employment services,4.184346047624108E-05
20,Extraction of natural gas and crude petroleum,465,Business support services,0.00017290553999649988
20,Extraction of natural gas and crude petroleum,467,Investigation and security services,0.00080810090682204017
20,Extraction of natural gas and crude petroleum,468,Services to buildings,0.00077952835969236078
20,Extraction of natural gas and crude petroleum,469,Landscape and horticultural services,0.00022037041180946251
20,Extraction of natural gas and crude petroleum,471,Waste management and remediation services,0.018056865190623661
20,Extraction of natural gas and crude petroleum,499,"Hotels and motels, including casino hotels",6.7863690143816699E-05
20,Extraction of natural gas and crude petroleum,500,Other accommodations,4.2433654876403761E-07
20,Extraction of natural gas and crude petroleum,501,Full-service restaurants,3.7854697039908791E-05
20,Extraction of natural gas and crude petroleum,502,Limited-service restaurants,7.8259029703960439E-05
20,Extraction of natural gas and crude petroleum,504,"Automotive repair and maintenance, except car washes",0.00022374290673650085
20,Extraction of natural gas and crude petroleum,506,Electronic and precision equipment repair and maintenance,5.7286011639593078E-05
20,Extraction of natural gas and crude petroleum,507,Commercial and industrial machinery and equipment repair and maintenance,1.0317826631895018E-05
20,Extraction of natural gas and crude petroleum,508,Personal and household goods repair and maintenance,0.00019222434014891723
20,Extraction of natural gas and crude petroleum,515,Business and professional associations,0.00041895864557095486
20,Extraction of natural gas and crude petroleum,516,Labor and civic organizations,1.9991274740723463E-06
20,Extraction of natural gas and crude petroleum,5001,Employee Compensation,0.0063297189772129059
20,Extraction of natural gas and crude petroleum,6001,Proprietor Income,0.12060917913913727
20,Extraction of natural gas and crude petroleum,7001,Other Property Type Income,-0.036469060927629471
20,Extraction of natural gas and crude petroleum,8001,Tax on Production and Imports,0.12787328660488129
20,Extraction of natural gas and crude petroleum,11001,Federal Government NonDefense,8.2725653468720031E-05
20,Extraction of natural gas and crude petroleum,12001,State/Local Govt NonEducation,0.0067514833027849819
20,Extraction of natural gas and crude petroleum,14002,Inventory Additions/Deletions,9.9066221336107017E-07
