county,year,industry,description,notused1,notused2,employment,laborinc,output
Bay,2006,42,Electric power generation - Fossil  fuel,,,148,14263440,165529300
Bay,2006,440,Real estate,,,1319,7209637,156137300
Benzie,2006,441,Owner-occupied dwellings,,,0,0,57198060
Benzie,2006,42,Electric power generation - Fossil  fuel,,,43,2932056,45715870
Benzie,2006,83,Dehydrated food products manufacturing,,,133,7264888,41977020
Benzie,2006,440,Real estate,,,422,1048307,40893740
Benzie,2006,59,Construction of new single-family residential structures,,,364,9426331,31753500
Benzie,2006,499,"Hotels and motels, including casino hotels",,,300,7426552,27705960
Benzie,2006,433,Monetary authorities and depository credit intermediation,,,149,7305725,27098180
Benzie,2006,79,"Frozen fruits, juices and vegetables manufacturing",,,115,3865065,26904790
Benzie,2006,354,Motor vehicle seating and interior trim manufacturing,,,77,2746067,21006490
Benzie,2006,81,Canned fruits and vegetables manufacturing,,,59,2217212,19066480
Berrien,2006,441,Owner-occupied dwellings,,,0,0,554360100
Berrien,2006,43,Electric power generation - Nuclear,,,672,108035400,544397200
Berrien,2006,395,Wholesale trade,,,2439,121013300,386376800
Berrien,2006,440,Real estate,,,2380,21610900,343001900
Berrien,2006,330,Household laundry equipment manufacturing,,,672,127725600,286297500
Berrien,2006,482,Hospitals,,,3073,139199800,279520700
Berrien,2006,534,"* Employment and payroll of local govt, education",,,4742,249452800,277637100
Berrien,2006,352,"Motor vehicle steering, suspension component (except spring), and brake systems manufacturing",,,688,43817730,181820500
Berrien,2006,433,Monetary authorities and depository credit intermediation,,,878,43154920,160682000
Berrien,2006,475,Offices of physicians,,,1435,103795300,155996000
Branch,2006,228,Secondary processing of other nonferrous metals,,,439,31231030,198867400
Branch,2006,441,Owner-occupied dwellings,,,0,0,127609400
Branch,2006,411,Truck transportation,,,780,42943580,109655300
Branch,2006,395,Wholesale trade,,,683,28764820,100292100
Branch,2006,534,"* Employment and payroll of local govt, education",,,1216,66985310,74553600
Branch,2006,42,Electric power generation - Fossil  fuel,,,67,5660142,73848570
Branch,2006,440,Real estate,,,656,3456430,66415490
Branch,2006,533,"* Employment and payroll of local govt, non-education",,,1182,57087630,63676810
Branch,2006,433,Monetary authorities and depository credit intermediation,,,320,15648850,58305600
Branch,2006,345,Heavy duty truck manufacturing,,,66,3109131,45699470
Calhoun,2006,73,Breakfast cereal manufacturing,,,3034,385013200,2388464000
Calhoun,2006,356,Other motor vehicle parts manufacturing,,,2743,180531800,726234300
Calhoun,2006,441,Owner-occupied dwellings,,,0,0,444315300
Calhoun,2006,351,Motor vehicle electrical and electronic equipment manufacturing,,,1507,93732770,341187600
Calhoun,2006,535,"* Employment and payroll of federal govt, non-military",,,1651,154483100,293787600
Calhoun,2006,395,Wholesale trade,,,1573,111401200,290263300
Calhoun,2006,534,"* Employment and payroll of local govt, education",,,4538,244513900,272140100
Calhoun,2006,42,Electric power generation - Fossil  fuel,,,212,29516000,253218800
Calhoun,2006,482,Hospitals,,,2552,133628500,251585100
Calhoun,2006,461,Management of companies and enterprises,,,825,116767200,187019400
Cass,2006,441,Owner-occupied dwellings,,,0,0,173282000
Cass,2006,395,Wholesale trade,,,639,30866880,99495910
Cass,2006,195,Other plastics product manufacturing,,,344,13878460,85818380
Cass,2006,534,"* Employment and payroll of local govt, education",,,1473,73891010,82239530
Cass,2006,226,"Copper rolling, drawing, extruding and alloying",,,123,7702955,62802100
Cass,2006,230,Nonferrous metal foundries,,,346,20483550,61544870
Cass,2006,14,"Animal production, except cattle and poultry and eggs",,,1123,29009440,60118540
Cass,2006,148,Paperboard mills,,,116,5293321,55568800
Cass,2006,440,Real estate,,,558,2062431,51779380
Cass,2006,49,Electric power transmission and distribution,,,28,2902667,51096470
Charlevoix,2006,229,Ferrous metal foundries,,,518,34610990,110953600
Charlevoix,2006,195,Other plastics product manufacturing,,,375,21839800,102166000
Charlevoix,2006,364,Boat building,,,154,10380260,99777120
Charlevoix,2006,441,Owner-occupied dwellings,,,0,0,98980940
Charlevoix,2006,440,Real estate,,,673,5595472,91571680
Charlevoix,2006,198,Other rubber product manufacturing,,,235,13742720,66785320
Charlevoix,2006,49,Electric power transmission and distribution,,,33,3830001,63014900
Charlevoix,2006,205,Cement manufacturing,,,100,8644534,56804240
Charlevoix,2006,499,"Hotels and motels, including casino hotels",,,547,14460580,52233030
Charlevoix,2006,534,"* Employment and payroll of local govt, education",,,749,42791080,47625800
Cheboygan,2006,441,Owner-occupied dwellings,,,0,0,83774840
Cheboygan,2006,440,Real estate,,,692,2190853,64429480
Cheboygan,2006,410,Water transportation,,,101,3467398,49867630
Cheboygan,2006,482,Hospitals,,,488,25393490,47955990
Cheboygan,2006,59,Construction of new single-family residential structures,,,510,14975180,47950280
Cheboygan,2006,147,Paper mills,,,98,5199883,43109260
Cheboygan,2006,534,"* Employment and payroll of local govt, education",,,574,33940960,37775750
Cheboygan,2006,407,Retail - Nonstore retailers,,,461,7576417,35253940
Cheboygan,2006,408,Air transportation,,,84,6411557,23128490
Cheboygan,2006,433,Monetary authorities and depository credit intermediation,,,132,5640996,22786140
Chippewa,2006,533,"* Employment and payroll of local govt, non-education",,,2448,97674300,108948100
Chippewa,2006,526,Other local government enterprises,,,660,23690530,106540800
Chippewa,2006,441,Owner-occupied dwellings,,,0,0,94821540
Chippewa,2006,531,"* Employment and payroll of state govt, non-education",,,1130,73674150,83159230
Chippewa,2006,534,"* Employment and payroll of local govt, education",,,1508,70678500,78664060
Chippewa,2006,42,Electric power generation - Fossil  fuel,,,51,5559415,58005140
Chippewa,2006,353,Motor vehicle transmission and power train parts manufacturing,,,125,7287081,46202960
Chippewa,2006,440,Real estate,,,435,1619162,43702940
Chippewa,2006,395,Wholesale trade,,,261,9653585,36708280
Chippewa,2006,433,Monetary authorities and depository credit intermediation,,,219,8375247,36180580
Clare,2006,166,Plastics material and resin manufacturing,,,310,16850920,341383300
Clare,2006,42,Electric power generation - Fossil  fuel,,,81,8300807,92058220
Clare,2006,441,Owner-occupied dwellings,,,0,0,84599580
Clare,2006,440,Real estate,,,715,5590774,70210190
Clare,2006,534,"* Employment and payroll of local govt, education",,,981,54710210,60891600
Clare,2006,356,Other motor vehicle parts manufacturing,,,206,9695498,49669200
Clare,2006,395,Wholesale trade,,,378,7438207,42711520
Clare,2006,59,Construction of new single-family residential structures,,,423,7998229,33353440
Clare,2006,482,Hospitals,,,345,14126060,29818240
Clare,2006,404,"Retail - Sporting goods, hobby, musical instrument and book stores",,,557,15424920,27257990
Clinton,2006,441,Owner-occupied dwellings,,,0,0,296222700
Clinton,2006,440,Real estate,,,1612,8023934,156725800
Clinton,2006,395,Wholesale trade,,,970,46062720,150551100
Clinton,2006,59,Construction of new single-family residential structures,,,1048,36373000,105040200
Clinton,2006,354,Motor vehicle seating and interior trim manufacturing,,,308,15751380,90107060
Clinton,2006,536,"* Employment and payroll of federal govt, military",,,448,33101930,81946610
Clinton,2006,356,Other motor vehicle parts manufacturing,,,326,17481280,81303380
Clinton,2006,534,"* Employment and payroll of local govt, education",,,1315,72785080,81008650
Clinton,2006,11,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",,,794,11043340,77482410
Clinton,2006,249,Machine shops,,,522,34907610,70676650
Crawford,2006,482,Hospitals,,,621,27529630,55836540
Crawford,2006,50,Natural gas distribution,,,57,5265266,46464920
Crawford,2006,441,Owner-occupied dwellings,,,0,0,42560650
Crawford,2006,138,Reconstituted wood product manufacturing,,,116,7038207,41302730
Crawford,2006,440,Real estate,,,285,771868,26988020
Crawford,2006,166,Plastics material and resin manufacturing,,,22,2482545,26137160
Crawford,2006,531,"* Employment and payroll of state govt, non-education",,,241,18086400,20414900
Crawford,2006,356,Other motor vehicle parts manufacturing,,,67,6478880,20258410
Crawford,2006,395,Wholesale trade,,,142,4679807,18999870
Crawford,2006,407,Retail - Nonstore retailers,,,249,3521145,16836590
Delta,2006,147,Paper mills,,,1023,86891360,511205000
Delta,2006,441,Owner-occupied dwellings,,,0,0,118677700
Delta,2006,217,Iron and steel mills and ferroalloy manufacturing,,,98,7798070,88410460
Delta,2006,471,Waste management and remediation services,,,408,18484940,67119080
Delta,2006,534,"* Employment and payroll of local govt, education",,,1223,59902760,66670820
Delta,2006,433,Monetary authorities and depository credit intermediation,,,371,14887880,62382040
Delta,2006,409,Rail transportation,,,218,27069150,59121020
Delta,2006,261,Other fabricated metal manufacturing,,,293,18113290,56176310
Delta,2006,59,Construction of new single-family residential structures,,,440,15105160,45746710
Delta,2006,395,Wholesale trade,,,316,12849090,45532220
Dickinson,2006,345,Heavy duty truck manufacturing,,,204,14109440,150044600
Dickinson,2006,138,Reconstituted wood product manufacturing,,,345,24853710,126705700
Dickinson,2006,264,Construction machinery manufacturing,,,293,18234020,117244500
Dickinson,2006,147,Paper mills,,,230,17498920,110989200
Dickinson,2006,395,Wholesale trade,,,545,30656600,92618120
Dickinson,2006,441,Owner-occupied dwellings,,,0,0,83031540
Dickinson,2006,229,Ferrous metal foundries,,,386,24162240,80532220
Dickinson,2006,59,Construction of new single-family residential structures,,,569,24022960,66792750
Dickinson,2006,49,Electric power transmission and distribution,,,31,3747174,60445150
Dickinson,2006,533,"* Employment and payroll of local govt, non-education",,,1099,53805670,60016040
Eaton,2006,437,Insurance carriers,,,2995,233951500,1418654000
Eaton,2006,343,Automobile manufacturing,,,779,63857210,485648400
Eaton,2006,441,Owner-occupied dwellings,,,0,0,415035800
Eaton,2006,395,Wholesale trade,,,1330,60570660,203969300
Eaton,2006,422,Software publishers,,,393,71978700,196844400
Eaton,2006,440,Real estate,,,1225,9709211,160639700
Eaton,2006,531,"* Employment and payroll of state govt, non-education",,,1885,137887100,155639200
Eaton,2006,534,"* Employment and payroll of local govt, education",,,2338,123526000,137482400
Eaton,2006,59,Construction of new single-family residential structures,,,1050,43008580,118527400
Eaton,2006,464,Employment services,,,2294,65758360,95354620
Emmet,2006,482,Hospitals,,,1576,77893800,150370200
Emmet,2006,441,Owner-occupied dwellings,,,0,0,127010500
Emmet,2006,440,Real estate,,,996,8851046,126655300
Emmet,2006,526,Other local government enterprises,,,712,28265530,117899900
Emmet,2006,59,Construction of new single-family residential structures,,,728,31375630,80162060
Emmet,2006,475,Offices of physicians,,,579,59298090,79709080
Emmet,2006,42,Electric power generation - Fossil  fuel,,,60,6823186,69355580
Emmet,2006,395,Wholesale trade,,,417,22265640,68724130
Emmet,2006,499,"Hotels and motels, including casino hotels",,,685,15325120,60302380
Emmet,2006,534,"* Employment and payroll of local govt, education",,,921,48202960,53649140
Genesee,2006,343,Automobile manufacturing,,,4386,620702700,3180395000
Genesee,2006,344,Light truck and utility vehicle manufacturing,,,1506,168118700,3166972000
Genesee,2006,441,Owner-occupied dwellings,,,0,0,1641024000
Genesee,2006,395,Wholesale trade,,,6991,455962100,1273860000
Genesee,2006,350,Motor vehicle gasoline engine and engine parts manufacturing,,,2370,274918900,1180218000
Genesee,2006,440,Real estate,,,6428,52167500,905494800
Genesee,2006,534,"* Employment and payroll of local govt, education",,,14072,764378800,850741600
Genesee,2006,42,Electric power generation - Fossil  fuel,,,747,76671360,845206800
Genesee,2006,482,Hospitals,,,5868,363908800,639700500
Genesee,2006,355,Motor vehicle metal stamping,,,2087,197069600,619381100
Gladwin,2006,271,All other industrial machinery manufacturing,,,325,21483430,88171980
Gladwin,2006,441,Owner-occupied dwellings,,,0,0,79850380
Gladwin,2006,343,Automobile manufacturing,,,131,6879870,74973660
Gladwin,2006,42,Electric power generation - Fossil  fuel,,,55,5105125,61510160
Gladwin,2006,407,Retail - Nonstore retailers,,,344,12857330,55797010
Gladwin,2006,534,"* Employment and payroll of local govt, education",,,509,27670700,30797060
Gladwin,2006,440,Real estate,,,160,509044,17198840
Gladwin,2006,59,Construction of new single-family residential structures,,,177,5063192,16776470
Gladwin,2006,482,Hospitals,,,181,7010085,15171460
Gladwin,2006,16,Commercial logging,,,128,4340678,13594700
Gogebic,2006,526,Other local government enterprises,,,938,36217360,154158400
Gogebic,2006,195,Other plastics product manufacturing,,,208,7020331,50156220
Gogebic,2006,50,Natural gas distribution,,,61,5349580,48987630
Gogebic,2006,441,Owner-occupied dwellings,,,0,0,45400040
Gogebic,2006,440,Real estate,,,254,2345696,42817250
Gogebic,2006,534,"* Employment and payroll of local govt, education",,,485,24845180,27652290
Gogebic,2006,136,Veneer and plywood manufacturing,,,142,6070158,23376940
Gogebic,2006,533,"* Employment and payroll of local govt, non-education",,,458,15974410,17818210
Gogebic,2006,395,Wholesale trade,,,115,4649708,16675700
Gogebic,2006,475,Offices of physicians,,,168,9654140,15838690
Grand Traverse,2006,440,Real estate,,,2740,21018070,356005000
Grand Traverse,2006,482,Hospitals,,,3431,184424300,343413100
Grand Traverse,2006,441,Owner-occupied dwellings,,,0,0,325330300
Grand Traverse,2006,90,Meat processed from carcasses,,,670,35730440,274585100
Grand Traverse,2006,395,Wholesale trade,,,1543,70340060,236256500
Grand Traverse,2006,437,Insurance carriers,,,552,35187950,228853200
Grand Traverse,2006,433,Monetary authorities and depository credit intermediation,,,1062,54520820,198654200
Grand Traverse,2006,59,Construction of new single-family residential structures,,,1793,64315190,186026400
Grand Traverse,2006,475,Offices of physicians,,,1426,134024900,185334800
Grand Traverse,2006,534,"* Employment and payroll of local govt, education",,,3217,165712300,184435200
Gratiot,2006,42,Electric power generation - Fossil  fuel,,,191,22368300,222139200
Gratiot,2006,395,Wholesale trade,,,681,59108460,130933800
Gratiot,2006,353,Motor vehicle transmission and power train parts manufacturing,,,342,16633090,121614600
Gratiot,2006,364,Boat building,,,187,7110489,117176100
Gratiot,2006,441,Owner-occupied dwellings,,,0,0,108180200
Gratiot,2006,482,Hospitals,,,874,40866480,81006460
Gratiot,2006,531,"* Employment and payroll of state govt, non-education",,,718,52200840,58921370
Gratiot,2006,534,"* Employment and payroll of local govt, education",,,938,52472960,58401580
Gratiot,2006,230,Nonferrous metal foundries,,,331,15470620,53783500
Gratiot,2006,433,Monetary authorities and depository credit intermediation,,,277,11304470,46897600
Hillsdale,2006,353,Motor vehicle transmission and power train parts manufacturing,,,612,34004880,223903200
Hillsdale,2006,90,Meat processed from carcasses,,,423,25540650,178100800
Hillsdale,2006,356,Other motor vehicle parts manufacturing,,,537,44880180,154243700
Hillsdale,2006,441,Owner-occupied dwellings,,,0,0,144713500
Hillsdale,2006,534,"* Employment and payroll of local govt, education",,,1468,80139900,89194460
Hillsdale,2006,395,Wholesale trade,,,515,22860210,77761020
Hillsdale,2006,89,"Animal, except poultry, slaughtering",,,213,7844391,73158870
Hillsdale,2006,260,Fabricated pipe and pipe fitting manufacturing,,,386,20171590,64381170
Hillsdale,2006,42,Electric power generation - Fossil  fuel,,,51,7541180,62219390
Hillsdale,2006,255,Plumbing fixture fitting and trim manufacturing,,,197,10451470,52220360
Houghton,2006,482,Hospitals,,,1001,51846420,98091380
Houghton,2006,441,Owner-occupied dwellings,,,0,0,89453600
Houghton,2006,531,"* Employment and payroll of state govt, non-education",,,673,59334250,66973170
Houghton,2006,532,"* Employment and payroll of state govt, education",,,995,56648030,63595980
Houghton,2006,534,"* Employment and payroll of local govt, education",,,877,46136550,51349250
Houghton,2006,264,Construction machinery manufacturing,,,123,7268997,48906350
Houghton,2006,59,Construction of new single-family residential structures,,,438,14399800,44604540
Houghton,2006,433,Monetary authorities and depository credit intermediation,,,223,9272123,37798980
Houghton,2006,533,"* Employment and payroll of local govt, non-education",,,866,33596360,37474130
Houghton,2006,440,Real estate,,,249,1218672,29880260
Huron,2006,355,Motor vehicle metal stamping,,,697,43291490,176056100
Huron,2006,441,Owner-occupied dwellings,,,0,0,107434700
Huron,2006,195,Other plastics product manufacturing,,,439,16082560,107339800
Huron,2006,11,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",,,697,18904190,85513680
Huron,2006,482,Hospitals,,,818,39330370,76849290
Huron,2006,229,Ferrous metal foundries,,,385,17817930,71960390
Huron,2006,534,"* Employment and payroll of local govt, education",,,1088,57825500,64358870
Huron,2006,395,Wholesale trade,,,403,21224730,62681420
Huron,2006,433,Monetary authorities and depository credit intermediation,,,364,14797380,61427560
Huron,2006,2,Grain farming,,,141,4832891,59338240
Ingham,2006,343,Automobile manufacturing,,,8029,907082700,5430255000
Ingham,2006,440,Real estate,,,6331,122945300,1655585000
Ingham,2006,531,"* Employment and payroll of state govt, non-education",,,15635,1060857000,1197435000
Ingham,2006,437,Insurance carriers,,,2159,177733300,1059287000
Ingham,2006,441,Owner-occupied dwellings,,,0,0,1030946000
Ingham,2006,482,Hospitals,,,8451,496588500,891584700
Ingham,2006,395,Wholesale trade,,,4203,271028200,757046000
Ingham,2006,534,"* Employment and payroll of local govt, education",,,11017,604281100,672555300
Ingham,2006,433,Monetary authorities and depository credit intermediation,,,2624,147203400,511354400
Ingham,2006,532,"* Employment and payroll of state govt, education",,,8593,376468900,422643300
Ionia,2006,343,Automobile manufacturing,,,1682,91392470,968954200
Ionia,2006,441,Owner-occupied dwellings,,,0,0,180828100
Ionia,2006,531,"* Employment and payroll of state govt, non-education",,,1266,94711800,106905400
Ionia,2006,534,"* Employment and payroll of local govt, education",,,1601,85385210,95032390
Ionia,2006,297,Industrial process furnace and oven manufacturing,,,146,7974991,69498980
Ionia,2006,352,"Motor vehicle steering, suspension component (except spring), and brake systems manufacturing",,,250,17254850,67320300
Ionia,2006,226,"Copper rolling, drawing, extruding and alloying",,,127,9501969,66724560
Ionia,2006,355,Motor vehicle metal stamping,,,280,13786480,65806490
Ionia,2006,433,Monetary authorities and depository credit intermediation,,,352,14678680,59878740
Ionia,2006,440,Real estate,,,679,1718542,58417950
Iosco,2006,441,Owner-occupied dwellings,,,0,0,79099830
Iosco,2006,352,"Motor vehicle steering, suspension component (except spring), and brake systems manufacturing",,,265,13548190,66645800
Iosco,2006,482,Hospitals,,,583,29264850,56124800
Iosco,2006,534,"* Employment and payroll of local govt, education",,,734,37131090,41326320
Iosco,2006,440,Real estate,,,443,1491882,40532850
Iosco,2006,407,Retail - Nonstore retailers,,,419,8644200,39704040
Iosco,2006,356,Other motor vehicle parts manufacturing,,,165,6201631,37740680
Iosco,2006,433,Monetary authorities and depository credit intermediation,,,229,8488041,37375490
Iosco,2006,355,Motor vehicle metal stamping,,,162,6234514,35690000
Iosco,2006,533,"* Employment and payroll of local govt, non-education",,,706,26305040,29341230
Iron,2006,441,Owner-occupied dwellings,,,0,0,34315080
Iron,2006,440,Real estate,,,161,1280419,26641340
Iron,2006,533,"* Employment and payroll of local govt, non-education",,,524,19392940,21631310
Iron,2006,138,Reconstituted wood product manufacturing,,,60,3168124,20787610
Iron,2006,433,Monetary authorities and depository credit intermediation,,,120,4569144,19581290
Iron,2006,356,Other motor vehicle parts manufacturing,,,68,4250607,17692850
Iron,2006,16,Commercial logging,,,210,5129964,17351720
Iron,2006,238,Fabricated structural metal manufacturing,,,86,3016959,15937300
Iron,2006,482,Hospitals,,,155,8484681,15695270
Iron,2006,14,"Animal production, except cattle and poultry and eggs",,,132,2216474,15353950
Isabella,2006,526,Other local government enterprises,,,1737,64373650,282648400
Isabella,2006,440,Real estate,,,1143,14649830,214818000
Isabella,2006,532,"* Employment and payroll of state govt, education",,,4724,188332300,211431500
Isabella,2006,277,"Air conditioning, refrigeration, and warm air heating equipment manufacturing",,,751,37960400,207500100
Isabella,2006,441,Owner-occupied dwellings,,,0,0,191574000
Isabella,2006,534,"* Employment and payroll of local govt, education",,,2716,124654800,138738800
Isabella,2006,407,Retail - Nonstore retailers,,,1071,30515560,134264800
Isabella,2006,395,Wholesale trade,,,852,37978010,129481200
Isabella,2006,269,"Sawmill, woodworking, and paper machinery",,,535,29531430,95193260
Isabella,2006,59,Construction of new single-family residential structures,,,820,27720510,84788170
Jackson,2006,49,Electric power transmission and distribution,,,632,86321890,1263883000
Jackson,2006,441,Owner-occupied dwellings,,,0,0,543693500
Jackson,2006,395,Wholesale trade,,,2062,129183800,362049800
Jackson,2006,217,Iron and steel mills and ferroalloy manufacturing,,,350,30075210,319125000
Jackson,2006,482,Hospitals,,,2695,163077300,289401500
Jackson,2006,534,"* Employment and payroll of local govt, education",,,4817,256153700,285095000
Jackson,2006,440,Real estate,,,2060,14913870,271189200
Jackson,2006,356,Other motor vehicle parts manufacturing,,,994,67514860,265776600
Jackson,2006,531,"* Employment and payroll of state govt, non-education",,,2223,165784000,187127600
Jackson,2006,433,Monetary authorities and depository credit intermediation,,,853,35661710,146006000
Kalamazoo,2006,174,Pharmaceutical preparation manufacturing,,,3867,479150300,1729771000
Kalamazoo,2006,441,Owner-occupied dwellings,,,0,0,931931300
Kalamazoo,2006,440,Real estate,,,4397,69885910,925826500
Kalamazoo,2006,395,Wholesale trade,,,4945,303868000,875955700
Kalamazoo,2006,343,Automobile manufacturing,,,1114,109833800,725852400
Kalamazoo,2006,380,Surgical appliance and supplies manufacturing,,,2029,203122600,610037800
Kalamazoo,2006,482,Hospitals,,,5978,280098700,553788800
Kalamazoo,2006,42,Electric power generation - Fossil  fuel,,,496,39525740,539487800
Kalamazoo,2006,437,Insurance carriers,,,946,67626610,423100400
Kalamazoo,2006,433,Monetary authorities and depository credit intermediation,,,2005,104043500,376875500
Kalkaska,2006,471,Waste management and remediation services,,,330,20477700,61681140
Kalkaska,2006,50,Natural gas distribution,,,64,6383193,53509680
Kalkaska,2006,38,Support activities for oil and gas operations,,,252,17491630,51932370
Kalkaska,2006,441,Owner-occupied dwellings,,,0,0,47643550
Kalkaska,2006,395,Wholesale trade,,,186,12330310,34435100
Kalkaska,2006,250,"Turned product and screw, nut, and bolt manufacturing",,,115,5371031,22184270
Kalkaska,2006,59,Construction of new single-family residential structures,,,203,7840611,21757050
Kalkaska,2006,533,"* Employment and payroll of local govt, non-education",,,469,18397080,20520520
Kalkaska,2006,440,Real estate,,,197,695550,17947320
Kalkaska,2006,411,Truck transportation,,,91,6671907,14790760
Kent,2006,395,Wholesale trade,,,22778,1498586000,4163581000
Kent,2006,441,Owner-occupied dwellings,,,0,0,2215378000
Kent,2006,437,Insurance carriers,,,5177,330856000,2156822000
Kent,2006,355,Motor vehicle metal stamping,,,7135,487397600,1862166000
Kent,2006,440,Real estate,,,10765,140858200,1844092000
Kent,2006,482,Hospitals,,,17978,924286200,1753952000
Kent,2006,375,"Office furniture, except wood, manufacturing",,,4798,393790000,1369582000
Kent,2006,42,Electric power generation - Fossil  fuel,,,966,92115600,1081519000
Kent,2006,464,Employment services,,,25886,736067500,1067942000
Kent,2006,534,"* Employment and payroll of local govt, education",,,15823,931704100,1036972000
Lake,2006,441,Owner-occupied dwellings,,,0,0,30706630
Lake,2006,395,Wholesale trade,,,123,5656319,18824660
Lake,2006,440,Real estate,,,214,293547,18182740
Lake,2006,224,"Other aluminum rolling, drawing and extruding",,,31,1685112,10986310
Lake,2006,475,Offices of physicians,,,115,6436926,10705060
Lake,2006,533,"* Employment and payroll of local govt, non-education",,,222,8827757,9846677
Lake,2006,433,Monetary authorities and depository credit intermediation,,,58,2211685,9544711
