county,year,industry,description,notused1,notused2,employment,laborinc,output
Berrien,2001,356,Other motor vehicle parts manufacturing,,,647,35836280,167219500
Berrien,2001,433,Monetary authorities and depository credit intermediation,,,896,43354140,154476600
Branch,2001,441,Owner-occupied dwellings,,,0,0,110205700
Branch,2001,356,Other motor vehicle parts manufacturing,,,369,13094530,83960720
Branch,2001,352,"Motor vehicle steering, suspension component (except spring), and brake systems manufacturing",,,379,19215970,80166630
Branch,2001,531,"* Employment and payroll of state govt, non-education",,,1389,65294460,73850410
Branch,2001,395,Wholesale trade,,,624,26188280,73419200
Branch,2001,228,Secondary processing of other nonferrous metals,,,325,19581880,72276310
Branch,2001,416,Warehousing and storage,,,699,33797100,54974330
Branch,2001,433,Monetary authorities and depository credit intermediation,,,303,12133790,47938460
Branch,2001,534,"* Employment and payroll of local govt, education",,,893,42178240,46970370
Branch,2001,440,Real estate,,,518,6482173,45196680
Calhoun,2001,73,Breakfast cereal manufacturing,,,2420,214264300,1545503000
Calhoun,2001,351,Motor vehicle electrical and electronic equipment manufacturing,,,2983,162541800,649941800
Calhoun,2001,356,Other motor vehicle parts manufacturing,,,1482,69561400,364088900
Calhoun,2001,352,"Motor vehicle steering, suspension component (except spring), and brake systems manufacturing",,,1596,100301800,357050100
Calhoun,2001,441,Owner-occupied dwellings,,,0,0,350746200
Calhoun,2001,535,"* Employment and payroll of federal govt, non-military",,,1385,112877000,238366200
Calhoun,2001,534,"* Employment and payroll of local govt, education",,,4379,192502500,214374000
Calhoun,2001,395,Wholesale trade,,,1297,79266120,180082800
Calhoun,2001,448,"Accounting, tax preparation, bookkeeping, and payroll services",,,1486,125350200,161099800
Calhoun,2001,482,Hospitals,,,1899,79231150,144660500
Cass,2001,441,Owner-occupied dwellings,,,0,0,148793600
Cass,2001,534,"* Employment and payroll of local govt, education",,,1571,65476260,72915430
Cass,2001,352,"Motor vehicle steering, suspension component (except spring), and brake systems manufacturing",,,335,13171090,67194880
Cass,2001,395,Wholesale trade,,,548,20409710,60919670
Cass,2001,14,"Animal production, except cattle and poultry and eggs",,,1078,9057570,46119620
Cass,2001,226,"Copper rolling, drawing, extruding and alloying",,,358,19160410,42421950
Cass,2001,230,Nonferrous metal foundries,,,309,16903550,39343570
Cass,2001,440,Real estate,,,444,4465777,37603000
Cass,2001,140,"Cut stock, resawing lumber, and planing",,,164,6418620,36483440
Cass,2001,370,Nonupholstered wood household furniture manufacturing,,,296,8916179,29414870
Charlevoix,2001,229,Ferrous metal foundries,,,720,43783910,103101900
Charlevoix,2001,441,Owner-occupied dwellings,,,0,0,96162440
Charlevoix,2001,364,Boat building,,,176,8796245,93452820
Charlevoix,2001,195,Other plastics product manufacturing,,,426,21036210,92059060
Charlevoix,2001,440,Real estate,,,572,8187331,70553800
Charlevoix,2001,49,Electric power transmission and distribution,,,45,4665623,69492990
Charlevoix,2001,315,"Search, detection, and navigation instruments manufacturing",,,210,19663270,54556460
Charlevoix,2001,205,Cement manufacturing,,,147,10193680,52459010
Charlevoix,2001,534,"* Employment and payroll of local govt, education",,,792,37697720,41980800
Charlevoix,2001,533,"* Employment and payroll of local govt, non-education",,,884,31798730,35459340
Cheboygan,2001,441,Owner-occupied dwellings,,,0,0,87939200
Cheboygan,2001,410,Water transportation,,,131,4219647,48329600
Cheboygan,2001,407,Retail - Nonstore retailers,,,538,12047950,45321960
Cheboygan,2001,440,Real estate,,,548,3691651,41891610
Cheboygan,2001,534,"* Employment and payroll of local govt, education",,,676,31866130,35486640
Cheboygan,2001,59,Construction of new single-family residential structures,,,484,12895160,33300610
Cheboygan,2001,260,Fabricated pipe and pipe fitting manufacturing,,,283,10403290,32812190
Cheboygan,2001,482,Hospitals,,,348,14732470,26738170
Cheboygan,2001,433,Monetary authorities and depository credit intermediation,,,133,4737881,19946140
Cheboygan,2001,499,"Hotels and motels, including casino hotels",,,283,4956155,17258190
Chippewa,2001,526,Other local government enterprises,,,1343,44140950,189568700
Chippewa,2001,533,"* Employment and payroll of local govt, non-education",,,2535,85954890,95849830
Chippewa,2001,441,Owner-occupied dwellings,,,0,0,95225870
Chippewa,2001,534,"* Employment and payroll of local govt, education",,,1556,65494160,72935360
Chippewa,2001,531,"* Employment and payroll of state govt, non-education",,,1102,62060030,70192140
Chippewa,2001,353,Motor vehicle transmission and power train parts manufacturing,,,213,8011355,55843130
Chippewa,2001,440,Real estate,,,341,2325369,32561020
Chippewa,2001,536,"* Employment and payroll of federal govt, military",,,219,7841726,30138190
Chippewa,2001,433,Monetary authorities and depository credit intermediation,,,203,6167560,28729310
Chippewa,2001,532,"* Employment and payroll of state govt, education",,,621,23911290,26982150
Clare,2001,441,Owner-occupied dwellings,,,0,0,104780800
Clare,2001,166,Plastics material and resin manufacturing,,,191,8975187,100852000
Clare,2001,356,Other motor vehicle parts manufacturing,,,250,10641850,59549620
Clare,2001,534,"* Employment and payroll of local govt, education",,,1184,51971820,57876660
Clare,2001,440,Real estate,,,639,3557661,45614420
Clare,2001,404,"Retail - Sporting goods, hobby, musical instrument and book stores",,,620,16361850,31012330
Clare,2001,264,Construction machinery manufacturing,,,106,5850283,28064600
Clare,2001,395,Wholesale trade,,,257,7210966,25281500
Clare,2001,42,Electric power generation - Fossil  fuel,,,37,2512460,24580700
Clare,2001,156,Petroleum refineries,,,10,717184,24383370
Clinton,2001,441,Owner-occupied dwellings,,,0,0,197280800
Clinton,2001,395,Wholesale trade,,,819,32313610,93660030
Clinton,2001,440,Real estate,,,1188,8040921,84663330
Clinton,2001,534,"* Employment and payroll of local govt, education",,,1466,66429630,73977120
Clinton,2001,536,"* Employment and payroll of federal govt, military",,,430,19085510,73351530
Clinton,2001,12,Dairy cattle and milk production,,,662,5247456,66027700
Clinton,2001,356,Other motor vehicle parts manufacturing,,,257,10265560,60491890
Clinton,2001,59,Construction of new single-family residential structures,,,741,18413780,49012720
Clinton,2001,354,Motor vehicle seating and interior trim manufacturing,,,223,7589793,42370220
Clinton,2001,220,Steel wire drawing,,,86,4660695,39070810
Crawford,2001,441,Owner-occupied dwellings,,,0,0,51730580
Crawford,2001,166,Plastics material and resin manufacturing,,,92,5293638,49915070
Crawford,2001,356,Other motor vehicle parts manufacturing,,,174,8842045,43755150
Crawford,2001,482,Hospitals,,,553,20673960,39540410
Crawford,2001,138,Reconstituted wood product manufacturing,,,106,7655350,23747460
Crawford,2001,440,Real estate,,,281,4843697,22846490
Crawford,2001,534,"* Employment and payroll of local govt, education",,,316,15716030,17501620
Crawford,2001,50,Natural gas distribution,,,27,1866564,16644440
Crawford,2001,395,Wholesale trade,,,137,3967035,13716810
Crawford,2001,254,"Valve and fittings, other than plumbing, manufacturing",,,85,3444584,13585110
Delta,2001,147,Paper mills,,,1443,123867300,505891200
Delta,2001,441,Owner-occupied dwellings,,,0,0,103447500
Delta,2001,249,Machine shops,,,614,26604790,63549350
Delta,2001,534,"* Employment and payroll of local govt, education",,,1200,56547530,62972250
Delta,2001,433,Monetary authorities and depository credit intermediation,,,321,10851750,47314280
Delta,2001,395,Wholesale trade,,,420,16074730,46969400
Delta,2001,482,Hospitals,,,504,21610990,39027110
Delta,2001,440,Real estate,,,375,3209978,38972950
Delta,2001,513,Religious organizations,,,363,5403517,35259200
Delta,2001,410,Water transportation,,,79,4978637,33342450
Dickinson,2001,147,Paper mills,,,631,48094460,212997700
Dickinson,2001,264,Construction machinery manufacturing,,,434,25672710,116680100
Dickinson,2001,441,Owner-occupied dwellings,,,0,0,72554960
Dickinson,2001,329,Household refrigerator and home freezer manufacturing,,,249,22493390,70673170
Dickinson,2001,395,Wholesale trade,,,540,25111370,66960920
Dickinson,2001,533,"* Employment and payroll of local govt, non-education",,,1083,44335780,49439620
Dickinson,2001,59,Construction of new single-family residential structures,,,569,20669370,47652050
Dickinson,2001,138,Reconstituted wood product manufacturing,,,205,13175480,44157180
Dickinson,2001,229,Ferrous metal foundries,,,289,19309380,43153180
Dickinson,2001,401,Retail - Health and personal care stores,,,723,22422070,37337770
Eaton,2001,437,Insurance carriers,,,2617,157922200,622978000
Eaton,2001,441,Owner-occupied dwellings,,,0,0,305202900
Eaton,2001,364,Boat building,,,461,15989850,238638400
Eaton,2001,395,Wholesale trade,,,1222,46758270,137753300
Eaton,2001,534,"* Employment and payroll of local govt, education",,,2401,113542700,126443000
Eaton,2001,440,Real estate,,,1059,11718210,112721600
Eaton,2001,345,Heavy duty truck manufacturing,,,292,17047570,93376300
Eaton,2001,59,Construction of new single-family residential structures,,,980,36848900,83219050
Eaton,2001,407,Retail - Nonstore retailers,,,929,22458420,81314260
Eaton,2001,416,Warehousing and storage,,,641,47831600,71212900
Emmet,2001,526,Other local government enterprises,,,1621,72726620,256674000
Emmet,2001,441,Owner-occupied dwellings,,,0,0,123300700
Emmet,2001,482,Hospitals,,,1367,58866810,106105300
Emmet,2001,440,Real estate,,,857,18339840,90306860
Emmet,2001,356,Other motor vehicle parts manufacturing,,,216,12459490,56656410
Emmet,2001,475,Offices of physicians,,,469,45144970,55381260
Emmet,2001,59,Construction of new single-family residential structures,,,699,21444640,52515160
Emmet,2001,395,Wholesale trade,,,399,18734830,49528380
Emmet,2001,499,"Hotels and motels, including casino hotels",,,627,12952770,41400180
Emmet,2001,340,Wiring device manufacturing,,,256,13091580,33756190
Genesee,2001,344,Light truck and utility vehicle manufacturing,,,4397,421959600,7095183000
Genesee,2001,343,Automobile manufacturing,,,4907,486456800,2782752000
Genesee,2001,350,Motor vehicle gasoline engine and engine parts manufacturing,,,3553,347097500,1265723000
Genesee,2001,441,Owner-occupied dwellings,,,0,0,1253949000
Genesee,2001,395,Wholesale trade,,,7191,425724300,1013738000
Genesee,2001,355,Motor vehicle metal stamping,,,4141,287484900,891983200
Genesee,2001,534,"* Employment and payroll of local govt, education",,,14403,695768900,774819600
Genesee,2001,440,Real estate,,,5326,62615080,636141400
Genesee,2001,449,"Architectural, engineering, and related services",,,5140,295890900,566183600
Genesee,2001,482,Hospitals,,,5462,265869400,456936400
Gladwin,2001,271,All other industrial machinery manufacturing,,,370,18779160,86736170
Gladwin,2001,441,Owner-occupied dwellings,,,0,0,85979570
Gladwin,2001,343,Automobile manufacturing,,,164,6998610,75532380
Gladwin,2001,534,"* Employment and payroll of local govt, education",,,622,27852640,31017160
Gladwin,2001,42,Electric power generation - Fossil  fuel,,,32,2435531,21861230
Gladwin,2001,195,Other plastics product manufacturing,,,100,3498084,19248720
Gladwin,2001,440,Real estate,,,160,1323187,17409100
Gladwin,2001,395,Wholesale trade,,,137,4749641,14759420
Gladwin,2001,59,Construction of new single-family residential structures,,,177,4810417,12336190
Gladwin,2001,482,Hospitals,,,178,5669272,11673370
Gogebic,2001,526,Other local government enterprises,,,421,27081510,78457630
Gogebic,2001,50,Natural gas distribution,,,80,5080208,48304010
Gogebic,2001,441,Owner-occupied dwellings,,,0,0,48282650
Gogebic,2001,534,"* Employment and payroll of local govt, education",,,845,31620420,35213010
Gogebic,2001,136,Veneer and plywood manufacturing,,,204,7996177,30072990
Gogebic,2001,499,"Hotels and motels, including casino hotels",,,449,8619920,28611020
Gogebic,2001,440,Real estate,,,189,3375303,27027130
Gogebic,2001,533,"* Employment and payroll of local govt, non-education",,,659,18329790,20439880
Gogebic,2001,195,Other plastics product manufacturing,,,98,2896912,18069450
Gogebic,2001,407,Retail - Nonstore retailers,,,219,4386335,17158030
Grand Traverse,2001,441,Owner-occupied dwellings,,,0,0,247815500
Grand Traverse,2001,482,Hospitals,,,3198,120617500,229801900
Grand Traverse,2001,440,Real estate,,,1936,29302900,219832900
Grand Traverse,2001,356,Other motor vehicle parts manufacturing,,,722,33234380,176317300
Grand Traverse,2001,395,Wholesale trade,,,1457,60944440,171037200
Grand Traverse,2001,433,Monetary authorities and depository credit intermediation,,,905,41716520,152748100
Grand Traverse,2001,534,"* Employment and payroll of local govt, education",,,3191,135132000,150485200
Grand Traverse,2001,475,Offices of physicians,,,1171,108489700,135368000
Grand Traverse,2001,59,Construction of new single-family residential structures,,,1528,46508410,113857300
Grand Traverse,2001,355,Motor vehicle metal stamping,,,542,23790960,99497510
Gratiot,2001,353,Motor vehicle transmission and power train parts manufacturing,,,570,24376570,153720200
Gratiot,2001,364,Boat building,,,197,5855656,100970800
Gratiot,2001,441,Owner-occupied dwellings,,,0,0,84899700
Gratiot,2001,395,Wholesale trade,,,679,27610100,78202260
Gratiot,2001,482,Hospitals,,,847,34247180,63382810
Gratiot,2001,42,Electric power generation - Fossil  fuel,,,82,8172889,59134250
Gratiot,2001,355,Motor vehicle metal stamping,,,316,11561380,55164340
Gratiot,2001,217,Iron and steel mills and ferroalloy manufacturing,,,154,7286274,53058600
Gratiot,2001,531,"* Employment and payroll of state govt, non-education",,,940,45717530,51708180
Gratiot,2001,483,Nursing and community care facilities,,,1138,28488490,48888910
Hillsdale,2001,356,Other motor vehicle parts manufacturing,,,1347,69851830,340888600
Hillsdale,2001,353,Motor vehicle transmission and power train parts manufacturing,,,967,51212220,274774800
Hillsdale,2001,441,Owner-occupied dwellings,,,0,0,118871200
Hillsdale,2001,534,"* Employment and payroll of local govt, education",,,1414,63280900,70470630
Hillsdale,2001,355,Motor vehicle metal stamping,,,344,19215910,68276470
Hillsdale,2001,260,Fabricated pipe and pipe fitting manufacturing,,,596,19338580,65826840
Hillsdale,2001,90,Meat processed from carcasses,,,213,10115320,56754550
Hillsdale,2001,395,Wholesale trade,,,500,18540560,55434100
Hillsdale,2001,218,"Iron, steel pipe and tube manufacturing from purchased steel",,,244,12082130,50295470
Hillsdale,2001,456,Scientific research and development services,,,318,13546630,43387100
Houghton,2001,441,Owner-occupied dwellings,,,0,0,82536250
Houghton,2001,534,"* Employment and payroll of local govt, education",,,1148,65388360,72817540
Houghton,2001,532,"* Employment and payroll of state govt, education",,,1310,59787040,67465320
Houghton,2001,49,Electric power transmission and distribution,,,42,3538927,60546970
Houghton,2001,482,Hospitals,,,765,29105730,55253800
Houghton,2001,531,"* Employment and payroll of state govt, non-education",,,725,48423040,54768210
Houghton,2001,264,Construction machinery manufacturing,,,192,8782562,48560680
Houghton,2001,433,Monetary authorities and depository credit intermediation,,,252,8745389,37530920
Houghton,2001,134,Sawmills,,,165,5463155,28776590
Houghton,2001,59,Construction of new single-family residential structures,,,353,10629810,25938050
Huron,2001,21,Extraction of natural gas liquids,,,169,18167440,265269500
Huron,2001,355,Motor vehicle metal stamping,,,1106,53353870,209063000
Huron,2001,441,Owner-occupied dwellings,,,0,0,107865300
Huron,2001,9,Sugarcane and sugar beet farming,,,2388,15860840,104694600
Huron,2001,12,Dairy cattle and milk production,,,236,3736085,93420870
Huron,2001,195,Other plastics product manufacturing,,,478,15053680,89362020
Huron,2001,351,Motor vehicle electrical and electronic equipment manufacturing,,,324,18233690,71309340
Huron,2001,534,"* Employment and payroll of local govt, education",,,1324,58538800,65189760
Huron,2001,482,Hospitals,,,761,26903660,52751140
Huron,2001,428,Wireless telecommunications carriers (except satellite),,,90,4102180,51727000
Ingham,2001,343,Automobile manufacturing,,,11080,899337200,5906619000
Ingham,2001,531,"* Employment and payroll of state govt, non-education",,,16927,1021482000,1155333000
Ingham,2001,440,Real estate,,,5122,106808300,1094993000
Ingham,2001,441,Owner-occupied dwellings,,,0,0,786222700
Ingham,2001,482,Hospitals,,,8020,364686200,643327400
Ingham,2001,395,Wholesale trade,,,4831,247110600,629282400
Ingham,2001,534,"* Employment and payroll of local govt, education",,,11826,564644000,628796800
Ingham,2001,437,Insurance carriers,,,2011,147688100,538320800
Ingham,2001,532,"* Employment and payroll of state govt, education",,,10211,421186900,475278800
Ingham,2001,433,Monetary authorities and depository credit intermediation,,,2517,126861100,443336700
Ionia,2001,441,Owner-occupied dwellings,,,0,0,135528600
Ionia,2001,346,Motor vehicle body manufacturing,,,1050,59259200,101548600
Ionia,2001,534,"* Employment and payroll of local govt, education",,,1940,87090590,96985500
Ionia,2001,531,"* Employment and payroll of state govt, non-education",,,1313,84282180,95326190
Ionia,2001,356,Other motor vehicle parts manufacturing,,,294,21079060,83165440
Ionia,2001,297,Industrial process furnace and oven manufacturing,,,164,8162241,54633020
Ionia,2001,395,Wholesale trade,,,603,12916630,54042180
Ionia,2001,81,Canned fruits and vegetables manufacturing,,,206,6736257,51303330
Ionia,2001,433,Monetary authorities and depository credit intermediation,,,329,11709790,49537750
Ionia,2001,352,"Motor vehicle steering, suspension component (except spring), and brake systems manufacturing",,,192,18526180,49314490
Iosco,2001,441,Owner-occupied dwellings,,,0,0,97490140
Iosco,2001,195,Other plastics product manufacturing,,,294,9022934,54530000
Iosco,2001,482,Hospitals,,,576,24154910,44021490
Iosco,2001,534,"* Employment and payroll of local govt, education",,,810,37788540,42081940
Iosco,2001,407,Retail - Nonstore retailers,,,415,9145829,35114930
Iosco,2001,433,Monetary authorities and depository credit intermediation,,,221,7203553,32150980
Iosco,2001,440,Real estate,,,443,2239258,31700000
Iosco,2001,533,"* Employment and payroll of local govt, non-education",,,791,24790740,27644600
Iosco,2001,355,Motor vehicle metal stamping,,,143,5892908,25731750
Iosco,2001,364,Boat building,,,49,1634427,25472210
Iron,2001,441,Owner-occupied dwellings,,,0,0,37423480
Iron,2001,533,"* Employment and payroll of local govt, non-education",,,630,18526350,20659060
Iron,2001,534,"* Employment and payroll of local govt, education",,,355,15400840,17150630
Iron,2001,50,Natural gas distribution,,,21,1606914,13402220
Iron,2001,433,Monetary authorities and depository credit intermediation,,,89,2596556,12415830
Iron,2001,356,Other motor vehicle parts manufacturing,,,51,2067333,11994290
Iron,2001,138,Reconstituted wood product manufacturing,,,55,2486505,10682620
Iron,2001,471,Waste management and remediation services,,,105,2257220,10666110
Iron,2001,483,Nursing and community care facilities,,,276,5510089,10320430
Iron,2001,440,Real estate,,,143,519109,9706437
Isabella,2001,532,"* Employment and payroll of state govt, education",,,4717,175072600,197556700
Isabella,2001,441,Owner-occupied dwellings,,,0,0,143168000
Isabella,2001,277,"Air conditioning, refrigeration, and warm air heating equipment manufacturing",,,678,27779680,123833600
Isabella,2001,534,"* Employment and payroll of local govt, education",,,2771,110316800,122850600
Isabella,2001,433,Monetary authorities and depository credit intermediation,,,631,21569700,93384690
Isabella,2001,395,Wholesale trade,,,742,28122170,83221050
Isabella,2001,526,Other local government enterprises,,,543,17110540,75585720
Isabella,2001,407,Retail - Nonstore retailers,,,924,19517020,75412890
Isabella,2001,440,Real estate,,,687,8738950,70818000
Isabella,2001,59,Construction of new single-family residential structures,,,843,30591180,69713330
Jackson,2001,42,Electric power generation - Fossil  fuel,,,1452,137711900,1046671000
Jackson,2001,441,Owner-occupied dwellings,,,0,0,413918100
Jackson,2001,395,Wholesale trade,,,2092,111973500,273776800
Jackson,2001,534,"* Employment and payroll of local govt, education",,,5044,243249500,270886600
Jackson,2001,356,Other motor vehicle parts manufacturing,,,973,54279520,252089000
Jackson,2001,433,Monetary authorities and depository credit intermediation,,,1482,68345820,250010600
Jackson,2001,440,Real estate,,,1721,19089050,202595700
Jackson,2001,352,"Motor vehicle steering, suspension component (except spring), and brake systems manufacturing",,,869,40915880,180899800
Jackson,2001,482,Hospitals,,,2301,100340900,179958900
Jackson,2001,531,"* Employment and payroll of state govt, non-education",,,2458,157564500,178211200
Kalamazoo,2001,174,Pharmaceutical preparation manufacturing,,,5011,508818800,1658999000
Kalamazoo,2001,441,Owner-occupied dwellings,,,0,0,698269600
Kalamazoo,2001,440,Real estate,,,3735,63281020,640544600
Kalamazoo,2001,395,Wholesale trade,,,4679,233622700,601609600
Kalamazoo,2001,343,Automobile manufacturing,,,967,72235860,503708700
Kalamazoo,2001,356,Other motor vehicle parts manufacturing,,,1807,84688020,443681800
Kalamazoo,2001,380,Surgical appliance and supplies manufacturing,,,1960,153858000,427733100
Kalamazoo,2001,482,Hospitals,,,5057,201806500,375344700
Kalamazoo,2001,433,Monetary authorities and depository credit intermediation,,,2150,106099900,374659200
Kalamazoo,2001,456,Scientific research and development services,,,2087,148132200,367649600
Kalkaska,2001,441,Owner-occupied dwellings,,,0,0,54489740
Kalkaska,2001,356,Other motor vehicle parts manufacturing,,,178,8031188,43290960
Kalkaska,2001,471,Waste management and remediation services,,,254,13761070,38618780
Kalkaska,2001,38,Support activities for oil and gas operations,,,319,16843250,36401860
Kalkaska,2001,395,Wholesale trade,,,183,10569100,25522160
Kalkaska,2001,533,"* Employment and payroll of local govt, non-education",,,498,16654180,18571370
Kalkaska,2001,59,Construction of new single-family residential structures,,,180,5230196,13019330
Kalkaska,2001,250,"Turned product and screw, nut, and bolt manufacturing",,,85,4196263,12728860
Kalkaska,2001,50,Natural gas distribution,,,19,1727283,12224100
Kalkaska,2001,440,Real estate,,,70,2116533,10035600
Kent,2001,395,Wholesale trade,,,23872,1357422000,3275217000
Kent,2001,375,"Office furniture, except wood, manufacturing",,,10952,723674000,1966823000
Kent,2001,441,Owner-occupied dwellings,,,0,0,1636328000
Kent,2001,440,Real estate,,,8894,183738300,1481340000
Kent,2001,355,Motor vehicle metal stamping,,,6558,404790200,1349762000
Kent,2001,482,Hospitals,,,15376,629897600,1158797000
Kent,2001,534,"* Employment and payroll of local govt, education",,,16654,843799000,939668400
Kent,2001,437,Insurance carriers,,,3784,189633000,812401400
Kent,2001,195,Other plastics product manufacturing,,,3867,170035600,798864400
Kent,2001,433,Monetary authorities and depository credit intermediation,,,4286,191345000,711958800
Lake,2001,441,Owner-occupied dwellings,,,0,0,58179720
Lake,2001,440,Real estate,,,164,2016317,19598470
Lake,2001,475,Offices of physicians,,,198,9031036,14448810
Lake,2001,533,"* Employment and payroll of local govt, non-education",,,258,8343267,9303725
Lake,2001,433,Monetary authorities and depository credit intermediation,,,50,2226610,8230594
